Date,Open,High,Low,Close,Adj Close,Volume
2016-10-06,9.61,9.61,9.61,9.61,9.61,200000
2016-10-07,9.61,9.61,9.61,9.61,9.61,0
2016-10-10,9.61,9.61,9.61,9.61,9.61,0
2016-10-11,9.61,9.61,9.61,9.61,9.61,0
2016-10-12,9.62,9.62,9.62,9.62,9.62,9100
2016-10-13,9.62,9.62,9.62,9.62,9.62,170000
2016-10-14,9.62,9.62,9.62,9.62,9.62,0
2016-10-17,9.62,9.62,9.62,9.62,9.62,0
2016-10-18,9.62,9.62,9.62,9.62,9.62,0
2016-10-19,9.62,9.62,9.62,9.62,9.62,0
2016-10-20,9.62,9.62,9.62,9.62,9.62,0
2016-10-21,9.62,9.62,9.62,9.62,9.62,0
2016-10-24,9.62,9.62,9.62,9.62,9.62,0
2016-10-25,9.62,9.62,9.62,9.62,9.62,0
2016-10-26,9.62,9.62,9.62,9.62,9.62,0
2016-10-27,9.62,9.62,9.62,9.62,9.62,0
2016-10-28,9.62,9.62,9.62,9.62,9.62,0
2016-10-31,9.6499,9.6499,9.6499,9.6499,9.6499,1500
2016-11-01,9.6,9.61,9.6,9.61,9.61,110000
2016-11-02,9.61,9.61,9.61,9.61,9.61,0
2016-11-03,9.61,9.61,9.61,9.61,9.61,0
2016-11-04,9.61,9.61,9.61,9.61,9.61,0
2016-11-07,9.7499,9.75,9.65,9.65,9.65,1600
2016-11-08,9.43,9.43,9.43,9.43,9.43,100
2016-11-09,9.43,9.43,9.43,9.43,9.43,0
2016-11-10,9.43,9.43,9.43,9.43,9.43,0
2016-11-11,9.43,9.43,9.43,9.43,9.43,0
2016-11-14,9.43,9.43,9.43,9.43,9.43,0
2016-11-15,9.75,9.75,9.75,9.75,9.75,600
2016-11-16,9.75,9.75,9.75,9.75,9.75,0
2016-11-17,9.75,9.75,9.75,9.75,9.75,0
2016-11-18,9.7,9.7,9.7,9.7,9.7,900
2016-11-21,9.75,9.75,9.75,9.75,9.75,400
2016-11-22,9.72,9.72,9.72,9.72,9.72,3500
2016-11-23,9.7,9.75,9.69,9.69,9.69,3300
2016-11-25,9.69,9.69,9.69,9.69,9.69,0
2016-11-28,9.7,9.73,9.7,9.73,9.73,2000
2016-11-29,9.73,9.73,9.73,9.73,9.73,0
2016-11-30,9.73,9.73,9.73,9.73,9.73,0
2016-12-01,9.73,9.73,9.73,9.73,9.73,0
2016-12-02,9.71,9.71,9.65,9.65,9.65,178100
2016-12-05,9.65,9.65,9.65,9.65,9.65,0
2016-12-06,9.65,9.65,9.65,9.65,9.65,0
2016-12-07,9.65,9.65,9.65,9.65,9.65,0
2016-12-08,9.65,9.65,9.65,9.65,9.65,0
2016-12-09,9.65,9.65,9.65,9.65,9.65,280000
2016-12-12,9.65,9.65,9.65,9.65,9.65,0
